Time,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
2023-06-09 17:44:34,14,1,100
2023-06-09 17:44:34,17,1,100
2023-06-09 17:44:34,4,1,100
2023-06-09 17:44:34,6,1,100
2023-06-09 17:44:34,1,1,100
2023-06-09 17:44:34,2,1,100
2023-06-09 17:44:34,4,1,100
2023-06-09 17:44:34,4,1,100
2023-06-09 17:44:34,3,1,100
2023-06-09 17:44:34,3,1,100
2023-06-09 17:44:34,6,1,100
2023-06-09 17:44:34,7,1,100
2023-06-09 17:44:34,3,1,100
2023-06-10 06:57:44,52,1,100
2023-06-10 06:57:44,25,1,100
2023-06-10 06:57:44,19,1,100
2023-06-10 06:57:44,18,1,100
2023-06-10 06:57:44,15,1,100
2023-06-10 06:57:44,52,1,100
2023-06-10 06:57:44,32,1,100
2023-06-10 06:57:44,30,1,100
2023-06-10 06:57:44,35,1,100
2023-06-10 06:57:44,38,1,100
2023-06-10 06:57:44,25,1,100
2023-06-10 06:57:44,22,1,100
2023-06-10 06:57:44,12,1,100
