Vehicle ID,Vehicle Type
142,Car
184,Car
150,Car
176,Car
103,Car
128,Car
188,Car
186,Car
2,Car
5,Car
153,Car
165,Car
163,Car
157,Car
162,Car
15,Car
123,Car
168,Truck
171,Car
1,Car
180,Truck
3,Car
125,Car
7,Car
4,Car
126,Car
161,Car
147,Truck
174,Car
156,Car
182,Car
138,Car
167,Car
170,Car
189,Car
187,Car
20,Car
179,Car
19,Car
9,Car
169,Car
8,Car
16,Car
159,Car
177,Truck
185,Car
178,Car
172,Truck
144,Car
164,Car
152,Car
6,Car
65,Car
56,Car
59,Car
70,Car
10,Car
37,Car
54,Car
47,Car
25,Car
57,Car
51,Car
68,Car
30,Car
48,Truck
23,Car
24,Car
63,Car
45,Car
60,Car
43,Car
67,Car
500,Car
66,Car
58,Car
69,Car
12,Car
80,Car
77,Car
87,Car
93,Car
73,Car
91,Truck
94,Car
81,Car
75,Car
85,Truck
97,Car
78,Car
76,Car
92,Car
79,Car
83,Car
71,Car
11,Car
14,Car
119,Bus
129,Car
115,Car
110,Car
112,Car
118,Car
122,Car
124,Car
98,Car
114,Car
101,Car
108,Car
120,Truck
13,Car
117,Car
99,Car
111,Car
135,Car
136,Car
151,Car
132,Car
131,Car
139,Car
134,Car
149,Car
155,Car
140,Car
133,Car
146,Car
143,Truck
141,Car
137,Car
222,Car
235,Truck
238,Car
223,Car
246,Car
213,Car
210,Car
194,Car
240,Car
199,Car
239,Car
243,Car
193,Car
225,Car
22,Car
229,Car
208,Car
201,Car
200,Car
209,Car
212,Car
27,Truck
220,Motorcycle
230,Car
203,Car
202,Car
233,Car
242,Car
224,Truck
237,Car
204,Car
249,Car
234,Truck
195,Car
236,Car
231,Car
206,Car
197,Car
214,Car
196,Car
218,Car
241,Car
216,Car
205,Car
248,Car
245,Car
191,Car
198,Car
219,Car
221,Car
21,Car
211,Car
278,Car
250,Car
257,Car
253,Car
286,Car
251,Car
280,Car
292,Car
268,Bus
272,Truck
273,Car
274,Car
277,Motorcycle
256,Car
285,Car
267,Motorcycle
283,Car
261,Car
275,Car
252,Car
288,Car
289,Car
260,Car
287,Truck
291,Car
255,Car
281,Car
264,Car
262,Motorcycle
259,Truck
266,Car
282,Truck
325,Car
312,Car
314,Car
310,Car
318,Car
294,Car
327,Car
311,Car
303,Car
330,Car
323,Car
309,Car
304,Car
299,Truck
306,Car
302,Car
301,Car
331,Car
336,Car
298,Car
321,Car
317,Truck
313,Car
300,Car
307,Car
329,Car
308,Car
334,Car
333,Car
326,Car
349,Car
364,Car
367,Car
373,Car
350,Truck
353,Car
375,Car
363,Truck
370,Car
340,Car
377,Car
378,Car
352,Car
371,Car
341,Truck
372,Car
347,Car
32,Car
380,Car
362,Bus
366,Car
369,Car
344,Car
33,Car
361,Car
356,Car
360,Car
358,Car
337,Car
355,Car
376,Car
351,Car
31,Truck
343,Car
345,Car
405,Car
412,Car
392,Car
40,Car
410,Motorcycle
407,Car
391,Car
409,Car
386,Car
42,Car
413,Car
385,Truck
408,Truck
390,Truck
38,Car
401,Car
416,Car
39,Car
394,Car
389,Car
400,Car
396,Car
411,Truck
41,Car
383,Car
388,Car
398,Car
404,Car
381,Truck
44,Car
399,Car
417,Car
406,Car
414,Car
36,Truck
403,Car
387,Car
395,Car
420,Car
448,Car
423,Car
441,Car
425,Truck
432,Car
428,Car
444,Car
419,Car
46,Truck
429,Car
418,Car
445,Car
427,Car
430,Car
439,Car
442,Car
443,Car
446,Car
437,Car
450,Car
435,Car
433,Car
421,Car
447,Car
455,Car
477,Car
478,Car
480,Car
475,Car
461,Car
468,Car
465,Car
467,Car
50,Car
469,Car
464,Car
49,Truck
452,Car
466,Car
470,Car
453,Car
451,Car
460,Car
479,Car
462,Car
476,Car
484,Car
481,Car
487,Truck
492,Truck
483,Truck
493,Car
499,Car
482,Car
497,Car
486,Car
496,Car
498,Truck
